iter	Logloss
0	0.6880040697
1	0.6835005836
2	0.6785651324
3	0.6731501082
4	0.6677351558
5	0.6633109042
6	0.6581633714
7	0.6539296039
8	0.6492291268
9	0.6449683391
10	0.6407967335
11	0.6369950858
12	0.6324321901
13	0.6282223129
14	0.6251639915
15	0.6207102129
16	0.61699517
17	0.6126990286
18	0.6094172903
19	0.6055412237
20	0.6019815552
21	0.5987086198
22	0.5952032218
23	0.5914420439
24	0.5880017802
25	0.5850818603
26	0.5820192166
27	0.578517443
28	0.5744932196
29	0.5716185806
30	0.5684082049
31	0.5647024395
32	0.5614267195
33	0.558644462
34	0.5555534659
35	0.5519541469
36	0.5490888743
37	0.5469614969
38	0.5437269608
39	0.5412496088
40	0.5386328801
41	0.5356780102
42	0.5332998041
43	0.5315248759
44	0.5294845012
45	0.527433474
46	0.52482222
47	0.5222665341
48	0.5202424181
49	0.5183696359
50	0.5162752247
51	0.5141144469
52	0.5124239591
53	0.5097810639
54	0.5084900114
55	0.5061408887
56	0.5037256723
57	0.5012297213
58	0.499698253
59	0.4978166846
60	0.4962555324
61	0.4944349049
62	0.4926687365
63	0.4909103035
64	0.4893735769
65	0.4876885191
66	0.4858015456
67	0.4839532985
68	0.4818625106
69	0.4802925074
70	0.478825543
71	0.4773444489
72	0.4755093866
73	0.4737391228
74	0.4721156555
75	0.4707796276
76	0.4690542534
77	0.4676390539
78	0.4661232529
79	0.4644778196
80	0.4629918074
81	0.461291063
82	0.460727249
83	0.4589844044
84	0.4579349328
85	0.4565199752
86	0.4553445055
87	0.4538255796
88	0.4526175082
89	0.4521270833
90	0.4512206976
91	0.4498393862
92	0.4486993348
93	0.4476541188
94	0.4462345377
95	0.4450690188
96	0.4440289234
97	0.4429644663
98	0.4417157654
99	0.4412242059
100	0.4401790241
101	0.4389737356
102	0.4377073374
103	0.4366106326
104	0.4354225826
105	0.4345733873
106	0.4334392345
107	0.4321339924
108	0.4311528211
109	0.4301757748
110	0.4293563288
111	0.4282480322
112	0.4274231815
113	0.4264715058
114	0.4254240987
115	0.4244825239
116	0.4233715368
117	0.4224352836
118	0.4216439637
119	0.4207126668
120	0.4194675495
121	0.4184038336
122	0.417786797
123	0.4168542882
124	0.4160667549
125	0.4155777157
126	0.4150059045
127	0.4143194983
128	0.4133296004
129	0.4124073856
130	0.4114970076
131	0.4106365663
132	0.4099533958
133	0.4097531625
134	0.408897617
135	0.4080403636
136	0.4071693372
137	0.4065145884
138	0.4057372296
139	0.4049947005
140	0.404250943
141	0.403470155
142	0.4026713548
143	0.402008967
144	0.4015708836
145	0.4010942732
146	0.4001412115
147	0.3994294993
148	0.3987452199
149	0.3986007378
150	0.3981631743
151	0.397360748
152	0.3967413507
153	0.3960518991
154	0.3954805902
155	0.3950013467
156	0.3944133256
157	0.3939622124
158	0.3934981162
159	0.3930563022
160	0.3927234661
161	0.3920512916
162	0.3914167749
163	0.3907075391
164	0.3899822017
165	0.3894880978
166	0.3888982865
167	0.3882202599
168	0.3876285748
169	0.3874301527
170	0.3870145816
171	0.3864443228
172	0.3857901378
173	0.3852620725
174	0.3848201384
175	0.3843878728
176	0.3836914689
177	0.3832851642
178	0.3826869266
179	0.3822324098
180	0.3816233627
181	0.3811756934
182	0.3805962951
183	0.3801382483
184	0.3796752148
185	0.3790889376
186	0.3785895004
187	0.3780397381
188	0.377522421
189	0.3769905773
190	0.376487635
191	0.3761751026
192	0.3756564144
193	0.3752004033
194	0.3744878771
195	0.3741175666
196	0.3736387503
197	0.3731231141
198	0.3726455057
199	0.3722291236
200	0.3717983166
201	0.3714335933
202	0.3712426082
203	0.3707619545
204	0.3703626987
205	0.3698346973
206	0.3695320391
207	0.3691321335
208	0.3687750789
209	0.3684372737
210	0.3681226429
211	0.3677981244
212	0.3676625805
213	0.3671912925
214	0.3668115417
215	0.3664740763
216	0.3660530764
217	0.3656665051
218	0.3654822725
219	0.3651262121
220	0.3644867474
221	0.3641321265
222	0.363812044
223	0.363423973
224	0.3628327607
225	0.3625650688
226	0.362199954
227	0.36182474
228	0.3614016358
229	0.3610787975
230	0.3607225797
231	0.3603983575
232	0.3598655335
233	0.3594131329
234	0.35901688
235	0.3589660426
236	0.3586336227
237	0.3582291402
